mlflow/mlflow	v3.15.1	uv.lock	python
moby/moby	v28.5.2	man/go.sum	go
mockito/mockito	v5.23.0	build.gradle.kts	java
mockk/mockk	v1.14.11	package-lock.json	kotlin
mojolicious/mojo	v9.49		perl
moose/Moose	2.4000		perl
mrdoob/three.js	@default	package-lock.json	javascript
n8n-io/n8n	n8n@2.34.4	pnpm-lock.yaml	polyglot
natecraddock/ziglua	0.6.0		zig
neovim/neovim	v0.12.4		other
nestjs/nest	v11.1.29	package-lock.json	javascript
netty/netty	netty-4.2.17.Final	pom.xml	java
nextcloud/server	v34.0.2	package-lock.json	php
nginx/nginx	release-1.31.3		cpp
nim-lang/Nim	v2.2.10		nim
nim-lang/nimble	v0.24.1	nimble-guide/requirements.txt	nim
nimgl/nimgl	1.3.2		nim
ninenines/cowboy	2.18.0		erlang
nix-community/home-manager	@default		nix
nix-community/naersk	@default	docparse/Cargo.lock	nix
nix-community/nixvim	@default		nix
nlohmann/json	v3.12.0	Package.swift	cpp
nodejs/node	v26.7.0	pyproject.toml	javascript
nrwl/nx	23.1.1	pnpm-lock.yaml	javascript
numpy/numpy	v2.5.2	pyproject.toml	python
numtide/devshell	@default		nix
nuxt/nuxt	v4.5.2	pnpm-lock.yaml	javascript
nvim-lua/kickstart.nvim	@default		lua
oban-bg/oban	v2.23.1	mix.lock	elixir
ocaml-batteries-team/batteries-included	release-09.11.1		ocaml
ocaml-multicore/eio	v1.4		ocaml
ocaml/dune	3.24.2	doc/requirements.txt	ocaml
ocaml/ocaml	5.5.0		other
ocaml/opam	2.5.2		ocaml
ocsigen/lwt	6.1.2		ocaml
ohmyzsh/ohmyzsh	@default	.github/workflows/dependencies/requirements.txt	other
ollama/ollama	v0.32.7	go.sum	go
onevcat/Kingfisher	8.11.0	Package.swift	swift
open-webui/open-webui	v0.11.0	uv.lock	python
openai/openai-python	v2.53.0	uv.lock	python
opencv/opencv	5.0.0	docs_sphinx/requirements.txt	cpp
openresty/lua-nginx-module	v0.10.31		perl
opensearch-project/OpenSearch	3.8.0	build.gradle	polyglot
openssl/openssl	openssl-4.0.1		cpp
oven-sh/bun	bun-v1.3.14	bun.lock	zig
pallets/flask	3.1.3	uv.lock	python
pandas-dev/pandas	v3.0.5	pyproject.toml	python
pdm-project/pdm	2.28.0	pyproject.toml	python
perl5-dbi/dbi	1.651		perl
pestphp/pest	v5.0.4	composer.json	php
phoenixframework/phoenix	v1.8.9	package-lock.json	elixir
php-fig/log	3.0.2	composer.json	php
plack/Plack	1.0054		perl
plausible/analytics	v3.2.1	mix.lock	elixir
playframework/playframework	3.0.11	build.sbt	scala
